Simulation Results: 
seq num, src name, enqueue time @ src, tx time @ src, receive time @ C, tx time @ C, received @ D
85,A,8000,8060.0,8061.0,8091.0,8092.0
86,A,8000,8070.0,8071.0,8101.0,8102.0
87,A,8000,8080.0,8081.0,8111.0,8112.0
88,A,8000,8090.0,8091.0,8121.0,8122.0
89,A,8000,8100.0,8101.0,8131.0,8132.0
134,B,8500,8510.0,8511.0,8521.0,8522.0
135,B,8500,8520.0,8521.0,8531.0,8532.0
90,A,9000,9010.0,9011.0,9021.0,9022.0
136,B,9000,9010.0,9011.0,9031.0,9032.0
91,A,9000,9020.0,9021.0,9041.0,9042.0
137,B,9000,9020.0,9021.0,9051.0,9052.0
92,A,9000,9030.0,9031.0,9061.0,9062.0
93,A,9000,9040.0,9041.0,9071.0,9072.0
94,A,9000,9050.0,9051.0,9081.0,9082.0
95,A,9000,9060.0,9061.0,9091.0,9092.0
96,A,9000,9070.0,9071.0,9101.0,9102.0
97,A,9000,9080.0,9081.0,9111.0,9112.0
98,A,9000,9090.0,9091.0,9121.0,9122.0
99,A,9000,9100.0,9101.0,9131.0,9132.0
138,B,9500,9510.0,9511.0,9521.0,9522.0
139,B,9500,9520.0,9521.0,9531.0,9532.0
